"","X572","X635","X638","X586","X568","X639","X563","X591","X587","X565","X633","X576","X562","X577","X560","X637","X580","X634","X564","X636","X561","X579","X632","X585","X573","X584","X566","X569","X571","X570","X578","X583","X567","X581","X590","X575","X582","X589"
"Otu14",20,121,22,1,19,38,263,0,0,0,0,0,0,0,0,0,2,1,0,22,26,0,0,0,1,0,1,0,0,0,0,62,214,218,21,30,111,217
"Otu30",1,1,0,2,0,0,0,0,0,1,0,0,0,0,2,3,2,0,0,2,0,0,0,2,1,0,1,0,0,0,1,0,0,0,1,0,0,0
"Otu3",266,957,299,285,188,451,295,2,616,1468,250,596,572,492,641,1624,1460,1171,177,2881,1123,4328,3,9,6,4,3,3,0,3,713,355,459,1272,136,80,213,798
"Otu5",1219,429,644,270,1144,1023,2408,314,4531,385,609,569,353,1435,1140,443,813,415,1485,182,496,936,2,3,1,1,2,7,2,1,1047,444,289,297,1804,2365,268,683
"Otu4",8,58,24,17,21,82,9,3265,270,7437,4255,522,830,791,2329,4171,1356,193,307,706,85,990,1,0,3,3,2,4,0,3,6164,16,59,60,34,15,36,54
"Otu407",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu9",33,172,72,44,25,187,29,0,33,15,49,3,6,0,44,104,215,37,21,844,292,122,0,2,1,1,0,0,0,0,65,287,124,260,181,43,84,1222
"Otu38",1493,793,1076,788,2989,1176,2231,812,239,679,865,1404,1039,1106,2204,939,1296,1282,1366,1753,550,853,2,1,4,1,1,1,1,1,930,608,289,326,631,316,278,87
"Otu1341",907,105,73,125,121,733,219,2,49,22,124,11,203,104,43,8,79,5,186,6,13,49,3,3,1,1,1,2,3,1,114,10,704,286,61,144,407,27
"Otu31",575,1299,1069,166,780,403,656,1,3,94,31,10,5,1,26,814,317,762,58,1534,290,474,1,3,1,3,1,2,0,1,3,1246,503,1109,2514,2283,192,103
"Otu61",0,0,0,0,4,0,0,0,1,0,0,0,4,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
"Otu27",638,410,2870,940,1706,367,433,30,9,95,124,730,579,1667,209,457,704,2327,570,1240,3779,3170,1,2,0,1,2,0,0,0,8,450,76,647,626,563,46,19
"Otu240",4,1,4,1,9,0,11,3,5,0,1,1,7,21,4,1,4,0,2,2,0,0,0,0,0,0,0,0,0,0,6,2,6,5,0,0,1,2
"Otu75",191,63,355,54,79,125,167,0,7,11,38,12,117,53,65,33,11,132,75,96,104,301,0,0,0,1,0,0,0,1,15,133,215,231,250,244,154,321
"Otu7",388,253,256,492,237,440,27,7,1238,2409,5431,8493,9821,10410,9630,152,587,255,978,491,1371,1173,2,3,2,0,5,2,3,3,671,216,8,306,156,189,11,17
"Otu179",358,8,22,2,2,39,4,0,1,0,0,0,0,0,0,24,2,20,3,12,3,10,0,0,0,0,0,0,0,0,0,81,2,62,307,175,25,14
"Otu16",127,137,93,73,808,175,376,2,5,4,2,2,5,2,5,80,556,375,7,81,91,42,1,5,9,0,1,4,3,4,3,2348,1484,1384,3767,1374,1379,1039
"Otu57",344,136,223,19,21,43,80,0,0,1,1,0,0,0,2,177,28,367,71,115,36,49,0,0,0,0,0,0,0,0,0,134,121,91,134,344,245,81
"Otu6",260,2362,661,516,575,343,985,2,890,1029,593,179,726,196,768,801,643,274,142,154,329,2738,8,4,4,3,2,4,2,0,927,143,408,846,158,108,240,1480
"Otu62",1,0,1,0,3,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,57,40,49,0,356,74,223
"Otu39",887,706,67,625,2548,491,143,2023,967,106,735,687,55,505,619,457,859,1695,1519,871,805,604,1,2,3,1,4,2,1,2,502,96,63,135,16,206,32,89
"Otu89",1190,407,318,87,117,617,873,0,258,745,48,5,40,13,51,73,28,165,206,124,447,463,3,1,0,0,2,0,1,1,2,429,710,682,268,888,662,161
"Otu45",216,85,445,146,178,130,41,207,32,8,18,8,24,20,108,16,38,157,22,83,43,64,0,1,0,0,0,0,0,1,171,0,0,0,1,0,0,0
"Otu91",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"Otu28",202,204,292,110,353,453,71,0,44,378,27,80,73,24,126,392,737,2159,647,650,944,547,0,3,1,0,0,0,0,0,1,7,13,42,90,165,17,7
"Otu277",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Otu236",92,2,23,28,21,5,20,0,0,0,0,0,0,0,0,5,0,13,34,19,17,33,0,0,0,0,0,0,0,0,0,4,9,12,20,13,5,2
"Otu8",18,95,39,12,10,42,96,8519,61,2370,413,4446,267,1069,2274,580,880,238,61,45,10,294,4,0,2,3,5,1,0,0,2057,38,104,114,18,47,67,29
"Otu438",0,0,0,0,0,0,0,70,0,0,0,0,0,0,7,0,0,2,5,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu225",1,4,96,0,4,0,5,0,0,0,0,0,1,0,1,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,2,4
"Otu35",22,85,119,34,38,82,49,0,53,238,34,63,28,33,82,643,364,55,48,91,61,659,0,1,1,0,1,0,0,0,232,42,81,168,16,16,88,112
"Otu77",277,69,244,162,509,189,83,0,15,17,15,6,3,28,19,111,124,309,247,163,277,161,0,0,1,0,0,0,0,1,5,78,97,135,325,279,28,0
"Otu191",400,101,183,80,109,210,234,1,1,1,1,0,1,0,0,72,194,63,58,36,93,75,0,0,1,0,0,0,0,0,21,53,108,111,98,61,137,106
"Otu2246",29,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu22",121,32,27,54,196,45,163,0,89,261,258,108,680,519,468,183,312,272,405,307,161,2053,1,0,0,0,1,0,2,1,94,64,23,26,58,17,26,6
"Otu142",81,43,82,34,178,40,60,0,26,70,35,32,29,29,88,41,58,137,86,114,106,129,0,0,0,0,0,0,0,0,86,16,28,37,40,33,47,17
"Otu165",3,16,10,8,14,3,7,0,1,14,78,128,3,115,11,135,3,29,3,7,4,293,0,0,0,0,0,0,0,0,1,2,4,1,1,2,8,0
"Otu237",27,67,16,5,41,10,8,0,0,0,0,0,0,0,0,22,13,85,55,19,62,17,1,0,0,0,0,0,0,0,0,24,4,25,37,5,2,3
"Otu10",28,66,110,10,79,152,133,1010,403,1,85,100,4,16,199,170,1540,234,65,448,359,57,4,2,0,1,2,1,3,1,239,352,150,51,310,1361,176,94
"Otu103",228,75,338,169,87,392,431,0,0,2,0,0,0,2,0,49,55,16,19,190,89,1,0,1,0,0,1,0,0,1,0,95,190,144,119,83,207,497
"Otu23",0,1,1,532,1,1,0,1,1,0,0,1,2,0,3,1,20,2,0,0,1,1,0,0,2,0,2,1,1,2,0,1,1,0,261,0,0,0
"Otu113",412,179,168,47,109,120,416,0,82,112,101,16,28,107,188,679,687,172,302,490,301,306,1,2,1,1,0,1,1,0,0,97,113,215,103,47,113,514
"Otu373",43,34,63,52,41,29,50,0,2,0,0,0,0,0,0,0,4,7,12,1,7,0,0,0,0,0,0,0,0,0,0,12,30,30,16,14,28,56
"Otu12",24,325,476,66,4,154,73,9,7,0,1,2,3,1,8,16,32,15,45,23,16,10,2,0,3,3,0,0,0,0,7,3923,862,822,1607,1439,1279,3290
"Otu2593",2,4,2,2,4,7,314,0,0,2,0,1,1,1,4,3,29,6,1,4,20,0,1,0,0,0,2,0,0,0,4,319,303,200,366,482,187,11
"Otu119",813,75,127,548,1381,3136,80,6,132,197,110,124,199,54,498,406,315,440,1362,733,1424,2136,0,3,2,1,0,0,1,1,152,130,10,67,174,123,6,15
"Otu1072",0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu26",785,3,402,62,144,17,594,393,1,5,6,2,10,3,71,21,19,2,307,633,1,38,2,0,2,0,0,1,1,1,1,229,493,528,480,62,745,341
"Otu655",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Otu241",353,164,377,56,370,101,341,0,0,0,0,0,0,2,0,0,4,3,68,0,27,0,0,0,0,1,0,1,1,0,0,59,29,56,51,43,20,31
"Otu2226",2,2,0,0,1,9,0,0,0,0,1,0,0,0,2,0,2,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,2,3,0,5,3,0
"Otu73",0,36,0,15,0,20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,29,16,0,0,10,62
"Otu2",1650,182,130,208,237,1305,426,2,86,40,280,23,405,181,68,3,169,6,412,12,22,71,2,1,1,0,0,4,2,2,185,18,1289,538,125,283,725,42
"Otu434",0,1,0,2,1,0,1,10,14,3,0,3,1,2,0,10,7,3,1,4,5,0,0,0,0,0,0,0,0,0,1,2,4,1,10,4,3,2
"Otu76",80,146,98,58,47,92,35,0,1,0,0,0,1,0,0,450,920,60,0,597,182,0,0,1,0,0,0,0,0,0,0,33,20,120,58,17,21,62
