"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"Otu14","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Alistipes_onderdonkii"
"Otu30","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Klebsiella","Klebsiella_oxytoca"
"Otu3","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Parabacteroides","Parabacteroides_goldsteinii"
"Otu5","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus_animalis"
"Otu4","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides_vulgatus"
"Otu407","Bacteria","Tenericutes","Mollicutes","Acholeplasmatales","Acholeplasmataceae","Acholeplasma","Acholeplasma_parvum"
"Otu9","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides_rodentium"
"Otu38","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium","Clostridium_hylemonae"
"Otu1341","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus_gasseri"
"Otu31","Bacteria","Firmicutes","Clostridia","Clostridiales","Unclassified_Clostridiales","Blautia","Blautia_faecis"
"Otu61","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Coprococcus","Coprococcus_eutactus"
"Otu27","Bacteria","Firmicutes","Clostridia","Clostridiales","Unclassified_Clostridiales","Blautia","Blautia_luti"
"Otu240","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Unclassified_Burkholderiales","Aquabacterium","Aquabacterium_parvum"
"Otu75","Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Adlercreutzia","Adlercreutzia_equolifaciens"
"Otu7","Bacteria","Firmicutes","Clostridia","Clostridiales","Unclassified_Clostridiales","Blautia","Blautia_glucerasea"
"Otu179","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium","Clostridium_cocleatum"
"Otu16","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Intestinimonas","Intestinimonas_butyriciproducens"
"Otu57","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium","Clostridium_saccharogumia"
"Otu6","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Alistipes_finegoldii"
"Otu62","Bacteria","Firmicutes","Clostridia","Eubacteriales","Gracilibacteraceae","Gracilibacter","Gracilibacter_thermotolerans"
"Otu39","Bacteria","Firmicutes","Clostridia","Clostridiales","Unclassified_Clostridiales","Blautia","Blautia_coccoides"
"Otu89","Bacteria","Firmicutes","Clostridia","Clostridiales","Unclassified_Clostridiales","Blautia","Blautia_wexlerae"
"Otu45","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium","Clostridium_innocuum"
"Otu91","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Parabacteroides","Parabacteroides_chartae"
"Otu28","Bacteria","Firmicutes","Clostridia","Clostridiales","Eubacteriaceae","Eubacterium","Eubacterium_tortuosum"
"Otu277","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus","Lactococcus_lactis_subsp._lactis"
"Otu236","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus","Ruminococcus_obeum"
"Otu8","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides_caccae"
"Otu438","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Terrisporobacter","Terrisporobacter_glycolicus"
"Otu225","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Saccharofermentans","Saccharofermentans_acetigenes"
"Otu35","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides_acidifaciens"
"Otu77","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Lactonifactor","Lactonifactor_longoviformis"
"Otu191","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium","Clostridium_viride"
"Otu2246","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptococcaceae","Pelotomaculum","Pelotomaculum_terephthalicicum"
"Otu22","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Gemmiger","Gemmiger_formicilis"
"Otu142","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Holdemania","Holdemania_filiformis"
"Otu165","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Insolitispirillum","Insolitispirillum_peregrinum_subsp._peregrinum"
"Otu237","Bacteria","Firmicutes","Clostridia","Clostridiales","Unclassified_Clostridiales","Mogibacterium","Mogibacterium_neglectum"
"Otu10","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Shigella","Shigella_sonnei"
